date,Males:NSW,Males:Vic.,Males:Qld,Males:SA,Males:WA,Males:Tas.,Males:NT,Males:ACT,Males:Australia ,Females:NSW,Females:Vic.,Females:Qld,Females:SA,Females:WA,Females:Tas.,Females:NT,Females:ACT,Females:Australia,Persons:NSW,Persons:Vic.,Persons:Qld,Persons:SA,Persons:WA,Persons:Tas.,Persons:NT,Persons:ACT,Persons:Australia
1807,5296,,,,,643,,,5939,2652,,,,,203,,,2855,7948,,,,,846,,,8794
1808,6025,,,,,797,,,6822,3080,,,,,361,,,3441,9105,,,,,1158,,,10263
1809,6754,,,,,864,,,7618,3508,,,,,434,,,3942,10262,,,,,1298,,,11560
1810,6611,,,,,974,,,7585,3485,,,,,496,,,3981,10096,,,,,1470,,,11566
1811,6645,,,,,1052,,,7697,3642,,,,,536,,,4178,10287,,,,,1588,,,11875
1812,7010,,,,,1122,,,8132,3926,,,,,572,,,4498,10936,,,,,1694,,,12630
1813,7910,,,,,1192,,,9102,4247,,,,,608,,,4855,12157,,,,,1800,,,13957
1814,8035,,,,,1260,,,9295,4148,,,,,643,,,4791,12183,,,,,1903,,,14086
1815,8559,,,,,1289,,,9848,4557,,,,,658,,,5215,13116,,,,,1947,,,15063
1816,10330,,,,,1360,,,11690,5188,,,,,675,,,5863,15518,,,,,2035,,,17553
1817,11811,,,,,2367,,,14178,6037,,,,,977,,,7014,17848,,,,,3344,,,21192
1818,14848,,,,,2438,,,17286,7590,,,,,983,,,8573,22438,,,,,3421,,,25859
1819,17329,,,,,4037,,,21366,8730,,,,,1376,,,10106,26059,,,,,5413,,,31472
1820,19626,,,,,4158,,,23784,8398,,,,,1361,,,9759,28024,,,,,5519,,,33543
1821,21543,,,,,4636,,,26179,8122,,,,,1191,,,9313,29665,,,,,5827,,,35492
1822,21554,,,,,6361,,,27915,8126,,,,,1323,,,9449,29680,,,,,7684,,,37364
1823,22466,,,,,7740,,,30206,8157,,,,,2269,,,10426,30623,,,,,10009,,,40632
1824,27357,,,,,9514,,,36871,8412,,,,,2789,,,11201,35769,,,,,12303,,,48072
1825,29309,,,,,10979,,,40288,9004,,,,,3213,,,12217,38313,,,,,14192,,,52505
1826,29788,,,,,11501,,,41289,9102,,,,,3491,,,12593,38890,,,,,14992,,,53882
1827,30267,,,,,12786,,,43053,9200,,,,,4047,,,13247,39467,,,,,16833,,,56300
1828,30731,,,,,14047,,,44778,9338,,,,,4081,,,13419,40069,,,,,18128,,,58197
1829,31034,,,,769,15143,,,46946,9882,,,,234,4872,,,14988,40916,,,,1003,20015,,,61934
1830,33900,,,,877,18108,,,52885,10688,,,,295,6171,,,17154,44588,,,,1172,24279,,,70039
1831,36243,,,,979,19815,,,57037,11757,,,,362,6825,,,18944,48000,,,,1341,26640,,,75981
1832,40011,,,,1074,21169,,,62254,13513,,,,436,7734,,,21683,53524,,,,1510,28903,,,83937
1833,45500,,,,1146,25023,,,71669,16612,,,,509,9305,,,26426,62112,,,,1655,34328,,,98095
1834,48068,,,,1214,26977,,,76259,18000,,,,586,10711,,,29297,66068,,,,1800,37688,,,105556
1835,51949,,,,1231,28749,,,81929,19355,,,,647,11423,,,31425,71304,,,,1878,40172,,,113354
1836,56677,,,309,1246,31185,,,89417,22252,,,237,710,12504,,,35703,78929,,,546,1956,43689,,,125120
1837,61506,,,1851,1259,30265,,,94881,24976,,,1422,776,12433,,,39607,86482,,,3273,2035,42698,,,134488
1838,68795,,,3392,1152,31932,,,105271,29381,,,2608,776,13832,,,46597,98176,,,6000,1928,45764,,,151868
1839,77379,,,5832,1302,30967,,,115480,36058,,,4483,852,13066,,,54459,113437,,,10315,2154,44033,,,169939
1840,85560,,,8272,1434,32040,,,127306,41908,,,6358,877,13959,,,63102,127468,,,14630,2311,45999,,,190408
1841,94094,,,8755,1706,39559,,,144114,51209,,,6730,1054,17861,,,76854,145303,,,15485,2760,57420,,,220968
1842,101637,,,9239,2115,40767,,,153758,60680,,,7101,1361,18084,,,87226,162317,,,16340,3476,58851,,,240984
1843,105198,,,9526,2304,41818,,,158846,63937,,,7670,1549,18846,,,92002,169135,,,17196,3853,60664,,,250848
1844,108810,,,10733,2622,42869,,,165034,69650,,,8266,1728,19609,,,99253,178460,,,18999,4350,62478,,,264287
1845,113739,,,12810,2689,43921,,,173159,74179,,,9650,1790,20370,,,105989,187918,,,22460,4479,64291,,,279148
1846,118927,,,14711,2732,44972,,,181342,77777,,,11182,1815,21133,,,111907,196704,,,25893,4547,66105,,,293249
1847,123890,,,17531,2821,46023,,,190265,81119,,,13622,1896,21895,,,118532,205009,,,31153,4717,67918,,,308797
1848,131842,,,21527,2818,45425,,,201612,88963,,,17139,1804,22810,,,130716,220805,,,38666,4622,68235,,,332328
1849,145105,,,29361,2685,44827,,,221978,102155,,,23543,1960,23726,,,151384,247260,,,52904,4645,68553,,,373362
1850,154976,,,35902,3576,44229,,,238683,111924,,,27798,2310,24641,,,166673,266900,,,63700,5886,68870,,,405356
1851,113155,58235,,37321,4633,43631,,,256975,84110,39254,,29217,2553,25556,,,180690,197265,97489,,66538,7186,69187,,,437665
1852,115283,110825,,36310,5645,36063,,,304126,89373,57496,,32353,3066,27382,,,209670,204656,168321,,68663,8711,63445,,,513796
1853,124827,146456,,43400,5727,37793,,,358203,99497,75980,,35544,3607,28161,,,242789,224324,222436,,78944,9334,65954,,,600992
1854,135284,185249,,50517,7778,35509,,,414337,106529,98693,,42028,3965,29365,,,280580,241813,283942,,92545,11743,64874,,,694917
1855,147822,226462,,48843,8311,38680,,,470118,118179,120843,,48544,4294,31282,,,323142,266001,347305,,97387,12605,69962,,,793260
1856,162548,251349,,56264,8751,43232,,,522144,125813,139035,,51622,4407,33708,,,354585,288361,390384,,107886,13158,76940,,,876729
1857,170925,291523,,55735,8833,47784,,,574800,135637,164999,,54182,4535,36134,,,395487,306562,456522,,109917,13368,83918,,,970287
1858,190845,314923,,60723,9735,48154,,,624380,145145,181223,,57942,4808,37330,,,426448,335990,496146,,118665,14543,85484,,,1050828
1859,184382,325259,13854,62328,9522,49031,,,644376,143077,195813,9666,60407,5315,38651,,,452929,327459,521072,23520,122735,14837,87682,,,1097305
1860,197851,330302,16817,64340,9597,49653,,,668560,150695,207932,11239,61242,5749,40168,,,477025,348546,538234,28056,125582,15346,89821,,,1145585
1861,201259,320888,20811,67409,9974,49032,,,669373,156103,218876,13556,63403,5962,40876,,,498776,357362,539764,34367,130812,15936,89908,,,1168149
1862,203872,322298,27186,70502,11175,48617,,,683650,162227,229090,17891,66060,6501,41499,,,523268,366099,551388,45077,136562,17676,90116,,,1206918
1863,207223,324731,37425,73839,12326,48715,,,704259,169861,243175,24042,68945,7086,41924,,,555033,377084,567906,61467,142784,19412,90639,,,1259292
1864,213015,341102,45430,78353,12909,49624,,,740433,177215,256901,28148,72401,7454,42631,,,584750,390230,598003,73578,150754,20363,92255,,,1325183
1865,222890,348717,53292,84255,13575,50549,,,773278,185616,269074,33629,77222,7806,43418,,,616765,408506,617791,86921,161477,21381,93967,,,1390043
